code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
CA_NU-NNV,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,en,,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,Nunavut Department of Justice - Corporate Registries,,75,,,,,,,,,0,,,,75,,,,,company,CA-NU,http://nunavutlegalregistries.ca/cr_index_en.shtml
GB-LAE,"The Local Authorities for England Register has been developed with the UK Department for Communities and Local Government (DCLG), and contains identifiers for 350+ local authorities. It also includes the 'local authority type' (e.g. Unitary Authority, London Borough) for each.

It uses the second portion of [ISO_3166-2](https://en.wikipedia.org/wiki/ISO_3166-2:GB) codes where these are available, and creates new codes where they are not. For more information on GOV.UK Registers, visit https://registers.cloudapps.digital/",,True,"WOT, BAS, GED",Look for the value of the 'Local-authority-eng' field. ,en,,https://local-authority-eng.register.gov.uk/records,True,GB,"api, bulk, csv, json, rdf","The list is available in CSV, TSV, JSON, YAML and TTL formats. There is also an open API, for guidance on how to use this visit https://registers-docs.cloudapps.digital/#api-documentation-for-registers","date_of_registration, registration_number, expiry_date, status",Open Government Licence v3.0,open_license,False,,,https://en.wikipedia.org/wiki/List_of_local_governments_in_the_United_Kingdom,secondary,2017-10-03,https://github.com/OpenDataServices/org-ids/issues/64,Local Authorities for England Register,,67,2,2,1,,1,,1,,,,10,,,50,,,,"government_agency/local_government, government_agency",GB-ENG,https://local-authority-eng.register.gov.uk/records?page-index=1&page-size=5000
GB-COH,"Companies House is the United Kingdom's register of companies.

It contains entries for many kinds of companies, including:

* Public limited company (PLC)
* Private company limited by shares (Ltd, Limited)
* Private company limited by guarantee, typically a non-commercial membership body such as a charity
* Private unlimited company (either with or without a share capital)
* Limited liability partnership (LLP)
* Limited partnership (LP)
* Societas Europaea (SE): European Union-wide company structure
* Companies incorporated by Royal Charter (RC)
* Community interest company",,True,"09506232, 07444723",,en,,https://www.gov.uk/get-information-about-a-company,True,GB,api,An API is available at https://developer.companieshouse.gov.uk/api/docs/ and bulk data is provided at http://download.companieshouse.gov.uk/en_output.html,"registered_address, directors_trustees_governors","“Supplied under section 47 and 50 of the Copyright, Designs and Patents Act 1988 and Schedule 1 of the Database Regulations (SI 1997/3032)”",open_license,False,,http://opencorporates.com/companies/gb,,primary,2016-09-17,,Companies House,,87,2,,,,,,,,,,10,,75,,,,,"company/listed_company, company/community_interest_company, company/partnership, company/limited_company, charity, company",,http://www.companieshouse.gov.uk/
AE-AFZ,"The authority's website can be used to find its address, email and call center contacts. No clear search functionality directly on the website.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Ajman Free Zone Authority,سلطة المنطقة الحرة في عجمان,75,,,,,,,,,,,,,75,,,,,company,AE-AJ,http://www.afz.gov.ae/
MU-CR,"The Corporate and Business Registration Department has the following main functions:
- The incorporation, registration and striking-off of companies
- The registration of documents that must be filed under the Companies Act 2001
- The provision of company information to the  public
- The enforcement of compliance with the legal requirements
- Registration of Businesses
- The Insolvency Service
- Registration of Limited Partnerships and Foundations",,True,"C136127, I06004428, C078008","For companies, use the ""Company/Partnership No"" that appears in search results and company information pages.

Users should be aware that a ""business registration number"" is also in use for some companies, which differs from the Company No/File No.

For business other than companies/partnerships (e.g. societies), use the Business Registration Number.",en,Visit https://portalmns.mu/cbris-name-search/MASTActionServlet?do=acceptlic,https://portalmns.mu/cbris-name-search/MASTActionServlet?do=acceptlic,True,MU,,,,,no_license,False,,,,primary,2018-01-22,Desk research,"Companies and Businesses Registration Integrated System, Mauritius",,80,,,,,,,,,,5,,,75,,,,,company,,http://companies.govmu.org/
GE-RS,"The Revenue Service of Georgia (RS) operates under the Ministry of Finance of the Republic of Georgia. 

All individuals and institutions with a relationship to the tax authority are issued with an identification number. Governmental organisations and individuals register directly with the Revenue Service of Georgia (RS).  Entrepreneurs (Limited Companies, Joint Stock Companies, Co-operatives etc.) register with the Ministry of Justice/National Agency of Public Registry, but are immediately entered also into the Revenue Service register. ",,True,"226166895, 404384297, 401985027",The identifiers are displayed in search results under the 'Identification code' heading.,"en, ka","A search by name, or registered number, of the Taxpayer Register is available on the Revenue Service website. A CAPTCH needs to be completed. ",http://www.rs.ge/5385,True,GE,data_not_available,,,,no_license,False,,,,primary,2018-08-21,https://github.com/org-id/register/issues/259,Georgian Revenue Service,,80,,,,,,,,,,5,,,75,,,,,"charity, company, government_agency",,http://www.rs.ge/5385
UZ-KTUT,The State Statistics Committee of the Republic of Uzbekistan maintans the United State Register of Corporate Entites and organizations (Корхоналар ва ташкилотларнинг ягона давлат),,False,2365119,"There is no free-of-charge search functionality or English interface. There are a couple of ways to place an enquiry (via phone, email, fax etc). An extract from the registry contains entity's legal name,  KTUT number (OKPO, legal entity indentification code), INN number (taxpayer's number), registration details etc. Example extract can be found at http://official2.gov.uz/uploads/RequiredDocs/d9f16dfe1c0daa2b91907b683414fbee.PNG",uz,,,True,UZ,data_not_available,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,United State Register of Corporate Entites,Корхоналар ва ташкилотларнинг ягона давлат,75,,,,,,,,,,,,,75,,,,,company,,https://my.gov.uz/uz/regService/413
SS-RRC,The South Sudan Relief and Rehabilitation Commission (SSRRC) is an agency of the Government of South Sudan. It is the operational arm of the Ministry of Humanitarian Affairs and Disaster Management. The NGO Act 2016 added additional powers to the agency to register any NGO interested in operating in South Sudan. ,,False,,Ask organisations registered with the South Sudan Relief and Rehabilitation Commission for their registration number. ,,,,True,SS,data_not_available,,,,no_license,False,,,https://en.wikipedia.org/wiki/South_Sudan_Relief_and_Rehabilitation_Commission,secondary,2017-08-05,IATI,South Sudan Relief and Rehabilitation Commission,,55,,,,,,,,,,5,,,,50,,,,charity,,
SN-NINEA,"Any organization (company, association, NGO) operating in Senegal must be included in a directory of legal entities ([Source](http://www.impotsetdomaines.gouv.sn/fr/demander-un-ninea)). 

Registration takes place through several agencies, and a Numéro d’Identification National des Entreprises et des Associations (NINEA) (National Identification Number for Companies and Associations) is provided to incorporated bodies.

A directory or lookup of companies and numbers is not available online, however most legal entities will have an NINEA which can be used as an identifier.",,True,"006478110, 006470108, 006480256",A NINÉA number can be used in conjunction with the list code prefix to produce a unique identifier.,"EN, FR",A (possible partial) and freely accessible online list is available from the Senegalese Bureau d'appui à la Création d'Entreprise (BCE) http://creationdentreprise.sn/en/finding-business.,http://creationdentreprise.sn/en/finding-business,True,SN,data_not_available,,,,no_license,False,,,,primary,2017-11-05T17:30:00Z,Research by Open Data Services.,"National Identification Number of Companies and Associations (NINEA), Senegal",Numéro d'Identification Nationale des Entreprises et des Associations - NINEA (Senegal),80,,,,,,,,,,5,,,75,,,,,"charity, company, trust",,http://creationdentreprise.sn/en/finding-business
TR-MERSIS,"Central Trade Registry System (MERSIS) is a centralized information system allowing for the implementation of the commercial registry processes and storing them and commercial registry data electronically. MERSIS can be accessed by registered users or using the e-signature from the website of the Ministry of Customs and Trade. It contains titles of companies, addresses, contact information, capital information, companies' partners, joint capital information, field of business, executive bodies of companies. Some information can also be found at http://www.ticaretsicil.gov.tr/english/index.php",,True,XXX-XXX-XXX-XX,,tr,,,True,TR,,,,,,False,,,,primary,2017-10-24,ProZorro Business Register Research,MERSIS - Central Trade Registry System,Merkezi Sicil Kayıt Sistemi,75,,,,,,,,,,,,,75,,,,,company,,https://mersis.gtb.gov.tr/
MZ-NUIT,"NUIT is the Mozambique Taxpayer Single Identification Number.

It is made up of 9 digits split into 3 parts: the first digit stands for the type of entity, the middle part is a sequential number, and the last digit provides a checksum. 

Both individuals and corporate entities are assigned an NUIT. ",,False,,Ask each organisation for a record of it's NUIT. ,"en, pt",,,True,MZ,,,,,no_license,False,,,,secondary,2011-11-21,https://github.com/org-id/register/issues/129,Taxpayer Single Identification Number (Mozambique),Número Unico de Identificacao Tributaria,55,,,,,,,,,,5,,,,50,,,,,,http://www.at.gov.mz/eng/Internacional-Trade/FAQ-s/NUIT
MZ-CR,"The purpose of the Commercial Registry is to make known the status of merchant of natural and legal persons, being defined as mandatory for the formation of companies. ",,False,,,PT,,,True,MZ,data_not_available,,,,closed_license,False,,,,primary,2017-11-16,Desk research,Mozambique Commercial Registry,O registo Comercial de Moçambique,75,,,,,,,,,0,,,,75,,,,,company,,http://www.portaldogoverno.gov.mz/Empresas/Registos/Registo-de-Sociedades
ML-NIF,"The Tax Identification Number (Numero d’Identification Fiscale) is issued to registered companies, and to branches of foreign organisations operating in Mali.

There is publicly available register of assigned Tax Identification Numbers. 
",,False,085101101W,"When individuals, organisations or branches of organisations are issued with a Tax Identification Number they will be given a pink form that provides their 'No Fiscal'. In general, these do not appear to be published, but may be requested from an organisation. ",fr,,,True,ML,data_not_available,,,,,False,,,,secondary,2017-06-05,Desk research,Tax Identification Number,Numero d’Identification Fiscale ,50,,,,,,,,,,,,,,50,,,,"charity, company, government_agency, unincorporated_body",,http://demarchesadministratives.gouv.ml/demarches/afficher/Numero-d-Identification-Fiscale-NIF
HU-AFA,The Ministry of Justice Information and Electronic Company Registration Service website provides free accesss to individual company data online from 1 January 2008. Only available in Hungarian.,,True,"Reg, number: 01-03-022165, Tax number: 28592822-2-43",,hu,,,True,HU,,,,,,False,,,,primary,2017-10-24,ProZorro Business Register Research,Information and Electronic Company Registration Service,Elektronikus Cégeljárásban Közreműködő Szolgálat,75,,,,,,,,,,,,,75,,,,,company,,http://www.e-cegjegyzek.hu/?cegkereses
ML-MAT,"The list consists of associations and NGOs in the Republic of Mali, excluding: trading companies; mutuals; cultural associations; congregations; cooperatives; unions; political parties ; professional orders and foundations.

Associations/NGOs in Mali ""form freely without authorization or declaration, but they will only enjoy the legal capacity if they"" make a declaration to the Ministre chargé de l'administration territoriale if they are political, humanitarian or foreign associations. Otherwise ""The preliminary declaration will be made to the representative of the State in the District of Bamako or in the Circle in whose jurisdiction the head office is located""[1].

""Within three months, the association will be made public by the care of its founders by means of an insertion in the Official Journal""[1]. We have been unable to find an online version of the journal, which in this case is the list.

[1] https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/97007/114925/F-1897106720/MLI-97007.pdf",,False,"0003 (dated 2013), 0603-G-DB (dated 2016)","An organisation's registration certificate is the means by which their id can be determined.
An historic list is available (accessed 2019-05-13) through the menu item ""ASSOCIATIONS ET ONG"". This appears to have a different coding scheme to one shown in a certificate provided to org-id from 2016.",fr,,http://www.matcl.gov.ml/,True,ML,"data_not_available, pdf",,"registered_address, industry_classifications, date_of_registration, registration_number, post_code_zip_code, activities_sector_code",,no_license,False,,,,primary,2019-05-13,Desk research based on https://github.com/org-id/register/issues/340,Ministere de l'Administration Territoriale ,,81,,,,,,1,,,,5,,,75,,,,,"charity, unincorporated_body, trust",,http://www.matcl.gov.ml/
AF-COA,"The Government of Afghanistan provide a Chart of Accounts spreadsheet on an annual basis. 

This includes codes for each ministry or portfolio, each sub-organization and each organizational unit assigned funds within the budget covering centrally budgeted government departments and agencies, hospitals, universities and services. 
",,True,"20000, 28010, 42000",The five-digit 'Unit' code from the Organization tab of the Chart of Accounts spreadsheet should be used. ,en,An excel spreadsheet is provided for download. This contains an 'Organization' tab.,http://www.budgetmof.gov.af/index.php/en/84-budget-execution-directorate/124-chart-of-accounts,True,AF,excel,A download of the Chart of Accounts is available from http://www.budgetmof.gov.af/index.php/en/84-budget-execution-directorate/124-chart-of-accounts,,,no_license,False,,,,secondary,2018-07-24,Desk research,Afghanistan Chart of Accounts,,56,,,,1,,,,,,5,,,,50,,,,government_agency,,http://www.budgetmof.gov.af/index.php/en/84-budget-execution-directorate/124-chart-of-accounts
NG-BPP,"The Nigerian Bureau of Public Procurement are responsible for monitoring and oversight of public procurement in Nigeria. 

The Contractor and Service Provider Database System is a government vendor registration database system that assigns a unique contractor identification number, categories, and classification of firms who have applied for, or been involved in, government contracts. 


",,True,"BPP_5125283435, BPP_1383871299, ","Search based on contractor name. The full identifier, including 'BPP_' should be used.",en,An online search of registered contractors is available.,http://federalcontractors.bpp.gov.ng/SearchforRegisteredContractors.aspx,True,NG,,,"website, e-mail_address, industry_classifications, status",,no_license,False,,,,secondary,2017-06-28,Open Contracting,Bureau of Public Procurement (BPP) Contractor Registration System (Nigeria),,55,,,,,,,,,,5,,,,50,,,,company,,http://federalcontractors.bpp.gov.ng/
SI-PRS,"The Slovenian Business Register (PRS) is a central database containing information about all business entities involved in a profit or non-profit activity having their principal place of business located on the territory of the Republic of Slovenia, as well as information on their subsidiaries and other divisions of business entities performing business activities in the territory of the Republic of Slovenia.",,True,5092108,,sl,,,True,SI,,,,,,False,,,,primary,2017-10-24,ProZorro Business Register Research,Slovenian Business Register,Poslovni register Slovenije,75,,,,,,,,,,,,,75,,,,,company,,http://www.ajpes.eu/prs/
ES-MDJ,"The Ministry of Justice keeps a broad array of records, covering organisations, events, and individuals. Some of these records (such as organisations) are public and searchable, whilst others (civil registration) are not.

This list covers the following types of organisations (roughly translated): ""Property and Mercantile"", ""Mediators and Mediation Institutions"", ""Foundations Under the Jurisdiction of the State"", and ""Religious Entities"".",,True,539SND; 842EDU,Search using the appropriate finder interface.,es,"High level records page (including non-organisation sections): http://www.mjusticia.gob.es/cs/Satellite/Portal/es/areas-tematicas/registros

Navigable from this page, there are multiple search interfaces for each of the organisation types which can be accessed through the direct links below, though there does not appear to be any way of bulk downloading the data.

Note that this search is very brittle. Searching for ""AYUDA EN ACCION"" yields a result for the organisation of that name, but searching ""AYUDA ACCION"" does not yield any results, nor does searching for all three words in the wrong order.

Mediators and Mediation Institutions: http://www.mjusticia.gob.es/cs/Satellite/Portal/es/areas-tematicas/registros/mediadores-instituciones
State Competition Foundations: http://www.mjusticia.gob.es/cs/Satellite/Portal/es/ciudadanos/registros/fundaciones-competencia
Religious Entities: http://www.mjusticia.gob.es/cs/Satellite/Portal/es/areas-tematicas/registros/entidades-religiosas",http://www.mjusticia.gob.es/cs/Satellite/Portal/es/areas-tematicas/registros,True,ES,data_not_available,,,,,False,,,https://en.wikipedia.org/wiki/Ministry_of_Justice_(Spain),secondary,2019-01-28,Original research; official website,Ministerio de Justicia ,es,50,,,,,,,,,,,,,,50,,,,"charity, company",,http://www.mjusticia.gob.es/cs/Satellite/Portal/es/areas-tematicas/registros
MW-NBM,"All NGOs operating in Malawi must register with the NGO Board of Malawi. All NPOs must also register with the Registrar General. There is a pdf file with a list of registered NGOs, but they do not have registration numbers. New database is planned.

""In line with Section 20 of the NGO Act, every organization that wishes to operate or is operating in Malawi as an NGO must register with the NGO Board of Malawi. The Board is a regulatory Body for NGOs in Malawi and failure to register with it means the NGO will be operating illegally."" [1]

""We are currently improving our directory which will not only show a list of registered NGOs when this process is completed, but will also provide an overview of each registered NGO, contacts, and will be searchable by sector and/or location (District)."" [2]

""The Registrar General is responsible for the registration and the administration non-profit entities under the Trustees Incorporation Act Cap. 5:03. "" [3]

[1][2] http://ngoboardmalawi.mw/directory.php
[3] https://www.registrargeneral.gov.mw/services/registration-of-businesses.html",,False,,"The PDF documents provide a list of organisation names but no detailed information. The list is numbered, and descends according to alphabetic order

OIPA results shows one organisation using MW-NBM : Theatre for Change MW-NBM-00139

This number relates to the PDF list 'Paid up list of National (Local) NGOs as at 20 August, 2014' http://ngoboardmalawi.mw/downloads/national%20ngo_directory_nov%202013.pdf

139 Theatre for a Change

This does not look to be a reliable, unique organisation number.",en,,"http://ngoboardmalawi.mw/downloads/malawi_ngo_directory_nov_2013.pdf , http://ngoboardmalawi.mw/downloads/ingo_directory_nov%202013.pdf , http://ngoboardmalawi.mw/downloads/national%20ngo_directory_nov%202013.pdf",True,MW,pdf,,organisation_name,,no_license,,,,,secondary,2016-11-26,Desk research,NGO Board of Malawi,,56,,,,,,1,,,,5,,,,50,,,,charity,,http://ngoboardmalawi.mw/directory.php
RS-PIB,"Ordinary taxpayer registration numbers start from the number 10000001 and end with the number 99999999. The PIB is determined so that the first eight digits are the regular registration number of the taxpayer, and the last digit is the control number. ",,True,100000709,"Registration number will be under `МБР` header, PIB - under `ПИБ` header.",sr,"There is a simple form to enter taxpayer's PIB number to acess information from PIB registry (in Serbian, free of charge). English interface of the website does not allow to search the registry.",,True,RS,,,,,,False,,,,secondary,2017-10-24,ProZorro Business Register Research,Tax identification number register,Poreski identifikacioni broj (PIB),50,,,,,,,,,,,,,,50,,,,company,,http://www.poreskauprava.gov.rs/pib.html
GB-SHPE,"A statutory register of not-for-profit (housing associations), for-profit private, and local authority social housing providers, who are registered to operate in England. The Homes and Communities Agency (HCA)[1] is the regulator for social housing providers in England and maintains the list.

Fields indicate the designation of the social housing provider (e.g. private, non-profit, local authority) and the legal entity type (by their inclusion on the FCA Mutual Register, the Charity Register and Companies House).

A *monthly* published list also appears on the HCA website, which includes new registrations and deregistrations https://www.gov.uk/government/publications/current-registered-providers-of-social-housing

[1]: https://www.gov.uk/government/organisations/homes-and-communities-agency",,True,"LH4401, H4244, 4793",The field 'social-housing-provider-eng' is the Registered Provider code of a social housing provider in England that is used as the identifier.,EN,"The register is updated daily, and is viewable online in HTML format, and as a bulk download in CSV, TSV, Excel, JSON, YAML and TTL formats.

To find out more about the API see the [technical documentation](https://registers-docs.cloudapps.digital/#api-documentation-for-registers)",https://social-housing-provider-eng.alpha.openregister.org/records,True,GB,"api, bulk, csv, json, excel",By visiting https://social-housing-provider-eng.alpha.openregister.org/records users will find all of the different formats and be able to access the register in full.,"date_of_registration, registration_number",UK Open Government Licence (OGL) v3.0 https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open_license,False,,,https://en.wikipedia.org/wiki/Homes_and_Communities_Agency,secondary,,Original reserach (OpenDataServices),Registered Social Housing Providers (England),,67,2,2,1,1,1,,,,,,10,,,50,,,,"charity, company/mutual, company/limited_company, trust, government_agency/local_government, company, government_agency",GB-ENG,https://social-housing-provider-eng.alpha.openregister.org/
ID-KLN,"All NGOs foreign to Indonesia who wish to operate in the country must register through the Ministry of Foreign affairs/ Kementerian Luar Negeri. 

""Registration Process:

1.    INGO submit complete application documents to the Government of the Republic of Indonesia through the Ministry of Foreign Affairs"" [1]

[1] http://www.kemlu.go.id/en/berita/informasi-penting/Pages/Registration-Guidelines-for-International-Non-Governmental-Organizations-in-Indonesia.aspx",,False,,No source of identifiers was found during research. ,"en, id",,http://www.smeru.or.id/en/content/ngo-database,True,ID,data_not_available,,,,no_license,False,,,,secondary,2017-10-25,,Ministry of Foreign affairs, Kementerian Luar Negeri,55,,,,,,,,,,5,,,,50,,,,,,http://www.kemlu.go.id/
US-USAGOV,"The U.S. Government website has an index of departments and agencies. This index can be searched, and the URL paths for agencies used to construct government agency identifiers. 

",,False,,"Use the final segment of the url (below /federal and excluding the extension) as the “registration number”, converting all “-” to “_”. Keep “registration number” portion all lowercase.

ADD EXAMPLE","en, es",,http://www.usa.gov/directory/federal/index.shtml,True,US,html,,"registered_address, e-mail_address, phone_number, website, organisation_name, organisation_type",,no_license,,,,,third-party,2016-12-27,Desk research,Index of U.S. Government Departments and Agencies,,5,,,,,,,,,,5,,,,,,,,government_agency,,https://www.usa.gov/
IE-CHY,"All charities operating in Ireland must register with the Charities Regulatory Authority. The Charities Regulator maintains a publicly searchable database of these organisations, in webpage and Excel form.

""Our work as a Regulator is to increase public trust and confidence in the management and administration of charitable organisations and to ensure the accountability of charitable organisations to donors, beneficiaries and the public.  All charitable organisations carrying out activities in the state are required to be registered with the Charities Regulator.  All registered charities are required to report on their activities and finances to the Regulator on an annual basis. "" [1]

[1] https://www.charitiesregulatoryauthority.ie/en/CRA/Pages/WP16000071",,False,"20015763, 20072278, 20066628","Users can find an identifier by using the simple, searchable database on this webpage - https://www.charitiesregulatoryauthority.ie/en/cra/pages/CharitySearch

The identifier will appear to the right of the organisations name, in the box with the search results. Users can also click onto the organisation for more details, and the identifier will appear next to the heading 'Registered Charity Number'

Users can also download an Excel spreadsheet of the registry from this webpage - http://charitiesregulatoryauthority.ie/en/cra/pages/search_a_charity

Identifiers can be found under the column header 'Registered Charity Number'","en, ga",Searchable database and Excel dataset of registry,"https://www.charitiesregulatoryauthority.ie/en/cra/pages/CharitySearch , http://charitiesregulatoryauthority.ie/en/cra/pages/search_a_charity",True,IE,"excel, html",,"objectives/purpose, directors_trustees_governors, organisation_name, status, akas, registration_number, registered_address",,no_license,,,,,primary,2016-11-24,Desk research,Charities Regulatory Authority of Ireland,,81,,,,1,,,,,,5,,,75,,,,,charity,,https://www.charitiesregulatoryauthority.ie/
GB-IRN,"Schools Plus is a directory of institutions, including schools, youth clubs, containing contact information and relevant statistics. Only Open schools seem to be on the list currently.",,True,"542-0059, 201-1873, 311-6220",Use the reference number (sometimes known as 'institution number') given in the search results and bulk download.,en,Visit the database and search the whole list of institutions by name or reference number.,http://apps.education-ni.gov.uk/appinstitutes/default.aspx,True,GB,"bulk, csv, excel",Use the 'Export' tool to download either an Excel or CSV (Text) of the full set.,"contact_address, e-mail_address, contact_address, registration_number, phone_number",UK Open Government Licence v3.0 http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open_license,False,,,,secondary,2017-11-08,Desk research,"Schools Plus, Department of Education (Northern Ireland)",,64,,2,1,1,,,,,,,10,,,50,,,education,"government_agency/public_service, government_agency",GB-NIR,https://www.education-ni.gov.uk/services/schools-plus
KG-ID,"The Ministry of Justice of the Republic of Kyrgyz maintains the register of legal entities. It contains  entries for many kinds of organizations, including:

* Companies
* Partnerships
* Co-operatives
* Trade unions
* Local and state enterprises
* Joint ventures
* Small businesses
* Political Parties
* Credit unions

This list references the company registration number scheme",,True,48206-3303-ООО,Registration number is the 'Рег. №' which should be used as the identifier,"ky, ru","Company can be searched by its name ('наименование'), registration number ('Рег. №'), tax number ('ИНН'), OKPO code ('Код ОКПО', assigned to each legal entity for statistics purposes), company status ('Статус'), registration date ('Дата') etc.  

Search is free-of-charge, no English interface.",http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=1184653,True,KG,data_not_available,,,,,False,,,,primary,2017-11-08,ProZorro Business Register Research,Electronic database of legal entities and branches (Krygyzstan),"Юридикалык жактардын, филиалдардын электрондук базасы",75,,,,,,,,,,,,,75,,,,,"company, charity, company/limited_company, company/mutual, company/partnership, government_agency",,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=204
PL-REGON,"A unique number assigned to national economic entities, and to the local units of these entities in the national official register of national economy entities,  REGON. The identifier provides no implicit or explicit information on the features of an entity.

Every organization receives REGON number during the registration phase.

Looking at REGON/NIP relations: most often all organizations having NIP (PL-NIP) will have REGON (PL-REGON) and vice-versa. 

One of a few exceptions are, for example, schools that will have REGON numbers (for statistical purposes), but they are not required to have NIP tax id number (because they are executing municipalities' budgets).",,True,142445947,"1. Type in organization's REGON in the REGON field
2. Start by clicking ""Szukaj""
3. Click on the first column (REGON number) to get details

REGON identification number of legal units (legal persons, organisational units with no legal personality and natural persons conducting economic activity) consists of 9 digits, of which the first eight digits constitute a serial number, and the ninth - a control digit. REGON identification number of a local unit consists of fourteen digits, of which the first nine digits constitute identification number of a legal unit, the next four digits are a serial number assigned to the local unit, and the fourteenth digit is a control digit.",PL,There is search is available on https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx. There is also an API available.,https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx,True,PL,api,There is an API available at http://bip.stat.gov.pl/dzialalnosc-statystyki-publicznej/rejestr-regon/interfejsyapi/informacje-ogolne/,"registered_address, date_of_registration, phone_number, post_code_zip_code, status",Non-profits and companies has been reusing this data for several years now as if it is openly lincesed,no_license,False,,,https://pl.wikipedia.org/wiki/REGON,secondary,2017-07-08,Research done by ePanstwo Foundation epf.org.pl/en,REGON - Statistical number of an economy entity,REGON - Krajowy Rejestr Urzędowy Podmiotów Gospodarki Narodowej,57,2,,,,,,,,,5,,,,50,,,,"charity, company, government_agency, unincorporated_body",,"http://stat.gov.pl/en/metainformations/glossary/terms-used-in-official-statistics/2963,term.html"
AU-ACNC,"""In Australia, charities must register with the Australian Charities and Not-for-profits Commission (ACNC) before they can receive charity tax concessions from the Australian Taxation Office (ATO).""

Charity Status can be applied to organisations that have an Australian Business Number (ABN) and that take a range of legal forms [1] including Australian Private Company, Australian Public Company, State level registered 'Other Incorporated Entity', Discretionary Investment Trust, Fixed Trusts, Co-operatives and Other Unincorporated Identities. 

[1]: http://www.acnc.gov.au/ACNC/Register_my_charity/Who_can_register/Legal_structure/ACNC/Reg/Legal_structure.aspx",,False,,,,,,True,AU,,,,,,,,,,secondary,2016-09-06,Primary research,Australian Charities and Not-for-profits Commission,,50,,,,,,,,,,,,,,50,,,,charity,,http://www.acnc.gov.au/ACNC/
GB-GOVUK,"This list is deprecated in favour of GB-GOR, the Government Organisation Registry which assigns a unique code to each agency with a page at www.gov.uk.

To construct a legacy GB-GOVUK identifier, use the final segment of the url of a body at http://www.gov.uk (below /organisations) as the ""registration number"", converting all ""-"" to ""_"". Keep ""registration number"" portion all lowercase.

It should be possible to map form GB-GOVUK to GB-GOR identifiers. ",,False,,,,,,True,GB,,,,,,True,,,,secondary,,,"GOV.UK - UK Government Departments, Agencies & Public Bodies",,50,,,,,,,,,,,,,,50,,,,government_agency,,https://www.gov.uk/government/organisations
KR-BRN,"The Business Registration Number covers the following types of organization, as designated by the middle two digits of the number [1]:

- 01-79 sole proprietor liable for value-added tax (VAT)
- 90-99 sole proprietor exempted from value-added tax (VAT)
- 89 non-corporate religious organization
- 80 non-corportate organization excluding religious group
- 81,86-88 head office of a for-profit organization
- 82 head or branch office of a non-profit corporation
- 83 country, local government or local government association
- 84 head, branch or liaison office of a foreign corporation
- 85 branch office of a for-profit corporation

An individual or corporation starting a business should obtain a Business Registration Number from the head of the district tax office in their jurisdiction [2].

The Business Registration Number can be found on the Business Registration Certificate issued by the National Tax Service [3].

[1,2,3] https://www.oecd.org/tax/automatic-exchange/crs-implementation-and-assistance/tax-identification-numbers/Korea-TIN.pdf",,True,402-82-24197,"The service cannot be used to look up the identifier for an organization, only to validate the authenticity of an identifier.","KR, EN","A Check Certificate Authenticity service is available on the hometax.go.kr website.

Both the Issuance Number and the Business Registration Number are required to look up an organization's registration certificate.

Either Internet Explorer or a user agent switcher which enables your browser to be identified as Internet Explorer are required to access the service.",https://www.hometax.go.kr/websquare/websquare.wq?w2xPath=/ui/pp/index_pp.xml&tmIdx=02&tm2lIdx=0203000000&tm3lIdx=,True,KR,data_not_available,,,,,False,,,https://en.wikipedia.org/wiki/National_Tax_Service_of_South_Korea,secondary,2018-04-18,Original research - https://github.com/org-id/register/issues/208,National Tax Service Business Registration Number,국세청 사업자 등록 번호,50,,,,,,,,,,,,,,50,,,,"charity, company, government_agency",,http://www.nts.go.kr
